# Constructed from biom file
#OTU ID	3b937762-9ed2-4c9d-a453-4ef1a7f81d1b	7e3f38da-d745-4610-b017-5862590ce006	ebc4e5d1-39a0-4d48-aa05-caf43b41958a
map00791	0.0	4.0	3.0
map04066	0.0	4.0	5.0
map05010	0.0	3.0	2.0
map00642	0.0	3.0	1.0
map05014	0.0	3.0	4.0
map00592	0.0	3.0	1.0
map05016	0.0	3.0	3.0
map04142	0.0	3.0	0.0
map00364	0.0	3.0	0.0
map05204	0.0	3.0	2.0
map00830	0.0	3.0	3.0
map04068	0.0	2.0	5.0
map05225	0.0	2.0	0.0
map00981	0.0	2.0	5.0
map04964	0.0	2.0	1.0
map00944	0.0	2.0	0.0
map05130	0.0	2.0	0.0
map04973	0.0	2.0	1.0
map00930	0.0	2.0	0.0
map04211	0.0	2.0	5.0
map05020	0.0	2.0	1.0
map00603	0.0	2.0	3.0
map00624	0.0	2.0	0.0
map00525	0.0	2.0	3.0
map00140	0.0	2.0	0.0
map00440	0.0	2.0	2.0
map05142	0.0	1.0	0.0
map05143	0.0	1.0	0.0
map04013	0.0	1.0	2.0
map00591	0.0	1.0	0.0
map04714	0.0	1.0	6.0
map04113	0.0	1.0	6.0
map00365	0.0	1.0	1.0
map01055	0.0	1.0	2.0
map04011	0.0	1.0	3.0
map01054	0.0	1.0	16.0
map04214	0.0	1.0	1.0
map00965	0.0	1.0	0.0
map05211	0.0	1.0	1.0
map04934	0.0	1.0	1.0
map03460	0.0	1.0	0.0
map00966	0.0	1.0	1.0
map04920	0.0	0.0	3.0
map03450	0.0	0.0	3.0
map00311	0.0	0.0	1.0
map00232	0.0	0.0	1.0
map05146	0.0	0.0	1.0
map04080	0.0	0.0	1.0
map04979	0.0	0.0	1.0
map05166	0.0	0.0	1.0
map00472	0.0	0.0	1.0
map04917	0.0	0.0	1.0
map04978	0.0	0.0	1.0
map00906	0.0	0.0	1.0
map01062	0.0	0.0	1.0
